calculvideo	0	rsvp	calculez,quinze,moins,six
calculvideo	2400	rsvp	calculez,dix,moins,trois
CboardH	8700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDaudio	11400	sound	clic3D.wav
phraseAudio	15000	sound	ph21.wav
clicDvideo	18000	rsvp	appuyez,trois fois,sur le bouton,droit
phraseAudio	20700	sound	ph22.wav
clicGaudio	23700	sound	clic3G.wav
clicGvideo	26700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	29700	sound	ph23.wav
CboardV	33000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	35400	sound	calc25.wav
phraseVideo	39000	rsvp	le jardinier,soignait,ses plantes,avec amour
phraseVideo	41700	rsvp	Ils mangent,du pain,avec leur,fromage
calculaudio	44700	sound	calc21.wav
calculaudio	48000	sound	calc24.wav
phraseVideo	56400	rsvp	la méteo,annonce,du soleil,pour lundi
CboardH	59700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicGaudio	62400	sound	clic3G.wav
clicDvideo	69000	rsvp	appuyez,trois fois,sur le bouton,droit
clicGvideo	71400	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseVideo	75000	rsvp	des nuages,flottaient,au dessus,du volcan
calculaudio	83400	sound	calc26.wav
clicDaudio	87000	sound	clic3D.wav
phraseAudio	89700	sound	ph24.wav
CboardV	96000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	108000	sound	calc30.wav
clicGvideo	116700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	119400	sound	ph25.wav
CboardV	122700	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculvideo	125400	rsvp	calculez,treize,moins,trois
phraseVideo	131400	rsvp	les usines,polluent,l'air de la,campagne
calculaudio	135000	sound	calc22.wav
calculaudio	137700	sound	calc28.wav
CboardV	140400	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
clicDaudio	143400	sound	clic3D.wav
phraseAudio	146700	sound	ph26.wav
CboardH	149400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculvideo	153000	rsvp	calculez,quinze,moins,sept
CboardV	156000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
phraseVideo	159000	rsvp	le chien,s'est jeté,sur le chat,du voisin
clicDaudio	162000	sound	clic3D.wav
calculvideo	164400	rsvp	calculez,dix-huit,moins,quatre
phraseVideo	167700	rsvp	personne,ne porte,de manteau,en été
clicGaudio	170400	sound	clic3G.wav
calculaudio	173700	sound	calc29.wav
CboardH	176700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
CboardH	188400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculaudio	191700	sound	calc23.wav
phraseVideo	195000	rsvp	les gens,du quartier,craignent,l'incendie
calculvideo	198000	rsvp	calculez,seize,moins,trois
calculvideo	201000	rsvp	calculez,dix-sept,moins,deux
CboardV	203700	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardV	207000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardV	210000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
clicGvideo	212700	rsvp	appuyez,trois fois,sur le bouton,gauche
clicGvideo	215700	rsvp	appuyez,trois fois,sur le bouton,gauche
