CboardV	264000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardH	266700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
CboardH	269700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDvideo	275400	rsvp	appuyez,trois fois,sur le bouton,droit
CboardV	278400	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
phraseAudio	284400	sound	ph18.wav
phraseVideo	288000	rsvp	au dessus,des toits,volent,les avions
clicDvideo	291000	rsvp	appuyez,trois fois,sur le bouton,droit
phraseAudio	293400	sound	ph19.wav
phraseAudio	296700	sound	ph20.wav
