calculvideo	0	rsvp	calculez,seize,moins,huit
calculvideo	2400	rsvp	calculez,dix,moins,deux
CboardH	8700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDaudio	11400	sound	clic3D.wav
phraseAudio	15000	sound	ph1.wav
clicDvideo	18000	rsvp	appuyez,trois fois,sur le bouton,droit
phraseAudio	20700	sound	ph2.wav
clicGaudio	23700	sound	clic3G.wav
clicGvideo	26700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	29700	sound	ph3.wav
CboardV	33000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	35400	sound	calc5.wav
phraseVideo	39000	rsvp	l'orage,a effrayé,les animaux,du zoo
phraseVideo	41700	rsvp	les chats,guettent,un oiseau,sur le mur
calculaudio	44700	sound	calc1.wav
calculaudio	48000	sound	calc4.wav
phraseVideo	56400	rsvp	le donjon,du château,tombe,en ruine
CboardH	59700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicGaudio	62400	sound	clic3G.wav
clicDvideo	69000	rsvp	appuyez,trois fois,sur le bouton,droit
clicGvideo	71400	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseVideo	75000	rsvp	du balcon,on a vu,le passage,du défilé
calculaudio	83400	sound	calc6.wav
clicDaudio	87000	sound	clic3D.wav
phraseAudio	89700	sound	ph4.wav
CboardV	96000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	108000	sound	calc10.wav
clicGvideo	116700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	119400	sound	ph5.wav
CboardV	122700	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculvideo	125400	rsvp	calculez,onze,moins,neuf
phraseVideo	131400	rsvp	les ours,adorent,le saumon,et le miel
calculaudio	135000	sound	calc2.wav
calculaudio	137700	sound	calc8.wav
CboardV	140400	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
clicDaudio	143400	sound	clic3D.wav
phraseAudio	146700	sound	ph6.wav
CboardH	149400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculvideo	153000	rsvp	calculez,douze,moins,quatre
CboardV	156000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
phraseVideo	159000	rsvp	en ville,on trouve,facilement,des taxis
clicDaudio	162000	sound	clic3D.wav
calculvideo	164400	rsvp	calculez,dix-neuf,moins,six
phraseVideo	167700	rsvp	le froid,de l'hiver,a gelé,le lac
clicGaudio	170400	sound	clic3G.wav
calculaudio	173700	sound	calc9.wav
CboardH	176700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
CboardH	188400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculaudio	191700	sound	calc3.wav
phraseVideo	195000	rsvp	il y a,beaucoup,de ponts,à Paris
calculvideo	198000	rsvp	calculez,seize,moins,deux
calculvideo	201000	rsvp	calculez,treize,moins,sept
CboardV	203700	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardV	207000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardV	210000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
clicGvideo	212700	rsvp	appuyez,trois fois,sur le bouton,gauche
clicGvideo	215700	rsvp	appuyez,trois fois,sur le bouton,gauche
CboardH	218700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculvideo	221400	rsvp	calculez,dix-neuf,moins,sept
CboardH	224700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDvideo	227700	rsvp	appuyez,trois fois,sur le bouton,droit
clicDaudio	230700	sound	clic3D.wav
calculvideo	234000	rsvp	calculez,onze,moins,trois
phraseAudio	236700	sound	ph7.wav
phraseVideo	246000	rsvp	la pluie,a rendu,la route,dangereuse
CboardH	248400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculaudio	251700	sound	calc7.wav
clicGaudio	254700	sound	clic3G.wav
clicGaudio	257399	sound	clic3G.wav
calculvideo	260399	rsvp	calculez,dix-sept,moins,six
CboardV	264000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
CboardH	266700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
CboardH	269700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDvideo	275400	rsvp	appuyez,trois fois,sur le bouton,droit
CboardV	278400	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
phraseAudio	284400	sound	ph8.wav
phraseVideo	288000	rsvp	Les roses,sont belles,mais elles,piquent
clicDvideo	291000	rsvp	appuyez,trois fois,sur le bouton,droit
phraseAudio	293400	sound	ph9.wav
phraseAudio	296700	sound	ph10.wav
