calculvideo	0	rsvp	calculez,douze,moins,deux
calculvideo	2400	rsvp	calculez,dix-huit,moins,six
CboardH	8700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicDaudio	11400	sound	clic3D.wav
phraseAudio	15000	sound	ph31.wav
clicDvideo	18000	rsvp	appuyez,trois fois,sur le bouton,droit
phraseAudio	20700	sound	ph32.wav
clicGaudio	23700	sound	clic3G.wav
clicGvideo	26700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	29700	sound	ph33.wav
CboardV	33000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	35400	sound	calc35.wav
phraseVideo	39000	rsvp	Quelq'un,a volé,le vélo,de facteur
phraseVideo	41700	rsvp	la pluie,a rendu,la route,glissante
calculaudio	44700	sound	calc31.wav
calculaudio	48000	sound	calc34.wav
phraseVideo	56400	rsvp	des soldes,ont été,annoncées,à la radio
CboardH	59700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
clicGaudio	62400	sound	clic3G.wav
clicDvideo	69000	rsvp	appuyez,trois fois,sur le bouton,droit
clicGvideo	71400	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseVideo	75000	rsvp	en Italie,les pâtes,se mangent,fermes
calculaudio	83400	sound	calc36.wav
clicDaudio	87000	sound	clic3D.wav
phraseAudio	89700	sound	ph34.wav
CboardV	96000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculaudio	108000	sound	calc40.wav
clicGvideo	116700	rsvp	appuyez,trois fois,sur le bouton,gauche
phraseAudio	119400	sound	ph35.wav
CboardV	122700	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
calculvideo	125400	rsvp	calculez,dix-sept,moins,quatre
phraseVideo	131400	rsvp	le match,a été,retransmit,en direct
calculaudio	135000	sound	calc32.wav
calculaudio	137700	sound	calc38.wav
CboardV	140400	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
clicDaudio	143400	sound	clic3D.wav
phraseAudio	146700	sound	ph36.wav
CboardH	149400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculvideo	153000	rsvp	calculez,seize,moins,cinq
CboardV	156000	pictseq	checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp,checherboardvpb.bmp,checherboardvnb.bmp
phraseVideo	159000	rsvp	l'épidémie,n'a pas,pu être,endiguée
clicDaudio	162000	sound	clic3D.wav
calculvideo	164400	rsvp	calculez,dix-neuf,moins,deux
phraseVideo	167700	rsvp	du sommet,on voit,toute,la ville
clicGaudio	170400	sound	clic3G.wav
calculaudio	173700	sound	calc39.wav
CboardH	176700	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
CboardH	188400	pictseq	checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp,checherboardhpb.bmp,checherboardhnb.bmp
calculaudio	191700	sound	calc33.wav
phraseVideo	195000	rsvp	on ne ,trouve pas,de melon,en hiver
calculvideo	198000	rsvp	calculez,onze,moins,sept
calculvideo	201000	rsvp	calculez,dix-neuf,moins,trois
